KEY,English,Deutsch,Portugues
HullSmallBlocks,Steel Blocks S,Stahlblöcke S,Bloco de ferro
HullThinSmallBlocks,Steel Blocks S (thin),Stahlblöcke S (dünn)
Rename Faction,Rename Faction,Fraktion umbenennen
Faction Abbreviation,Faction Abbreviation,Fraktionskürzel
CPnlNoFaction,No Faction,Keine Fraktion
CPnlFactionX,Faction: [{0}],Fraktion: [{0}]
CPnlFactionPriv,Private,Privat
CPnlFactionPub,Public,Alle
(Faction Name Taken),(Faction Name Taken),(Name vorhanden)
(Abbreviation Taken),(Abbreviation Taken),(Abkürzung vorhanden)
Members,Members,Mitglieder
Role,Role,Rolle
Abbrev,Abbrev,Abk.
Candidate,Candidate,Kandidat
Member,Member,Mitglied
Admin,Admin,Admin
Founder,Owner,Gründer
Gravity,Gravity,Gravitation
Type,Type,Typ
Difficulty,Difficulty,Schwierigkeit
PvP,PvP,PvP
Space,Space,Weltraum
Temperate,Temperate,Gemäßigter Planet
Desert,Desert,Wüstenplanet
Snow,Snow,Eisplanet
Lava,Lava,Lavaplanet
Barren,Barren,Unfruchtbarer Planet
PvE,PvE,PvE
Mode,Mode,Modus
Kill,Suicide,Suizid
AreYouSure,Are you sure you want to do this?,"Bist du sicher, dass du das machen möchtest?"
Direct IP and Port:,Direct IP and Port:,Direkte IP und Port
Stop Refresh,Stop Refresh,Aktualisieren anhalten
Refresh,Refresh,Aktualisieren
Ping,Ping,Ping
Build,Build,Build
Players,Players,Spieler
Server Name,Server Name,Server Name
Total Servers:,Total Servers:,Server insgesamt:
Server List,Server List,Server Liste
Hide password protected,Hide password protected,Passwortgeschützte verstecken
Hide incompatible builds,Hide incompatible builds,Inkompatible Versionen verstecken
ServerPassword,Please enter password for server:,Bitte gib das Passwort für den Server ein
Level,Level,Level
Available Unlock Points:,Available Unlock Points:,Vorhandene Freischaltpunkte
Character Stats,Character Stats,Spieler Statistiken
Global:,Global:,Global:
Filter:,Filter:,Filter:
Name:,Name:,Name:
Resources,Resources,Rohstoffe:
Length of Day:,Length of Day:,Tageslänge:
Current / Mean Temperature:,Current / Mean Temperature:,Aktuelle / Durchschnittstemperatur:
mnuFacebook,Facebook,Facebook
mnuTwitter,Twitter,Twitter
Distance,Distance,Distanz
Lock Target,Lock Target,Ziel erfassen
Current Target,Current Target,Aktuelles Ziel
Mode:,Mode:,Modus:
Difficulty:,Difficulty:,Schwierigkeit
igmWarpJumpOnlyInCockpit,Warp jump only in cockpit of a capital vessel possible,Warpsprung nur im Cockpit eines Großen Raumschiffs möglich
igmWarpJumpNotAvail,You need a warp drive to jump,Du brauchst einen Warpantrieb für einen Warpsprung
igmWarpJumpNoTarget,No warp jump target locked,Kein Warpsprungziel ausgewählt
igmWarpJumpArrivedAlready,Arrived at target already,Du bist schon am Ziel angekommen
igmWarpJumpHeadTarget,You need to fly towards the target to activate warp jump,Du musst auf das Ziel zufliegen um den Warpsprung zu aktivieren
igmWarpJumpFlyFaster,You need to fly faster to activate warp jump,Du musst schneller fliegen um den Warpsprung zu aktivieren
igmWarpJumpPassengers,All players have to be on passenger seats,Alle Spieler müssen sich auf einem Passagiersitz befinden
igmDetachNotPossible,You cannot do this now - you have to wait,Du kannst das momentan nicht machen - du musst etwas warten
igmSectorLeaving,You need a warp drive to travel to a location outside your sector,Du brauchst einen Warpantrieb um ein Ziel außerhalb deines Sektors zu erreichen
igmWeaponNotShootableHere,You cannot shoot this weapon on a planet,Du kannst die Waffe auf einem Planeten nicht abfeuern
igmFlyRestriction,Flying only possible if all players leave the docked ships,Alle Spieler müssen die gedockten Schiffe verlassen um fliegen zu können
mnuHoverLabelIngameHints,Here you can choose to have in-game hints in Survival mode enabled or disabled.,Wähle ob du im Survival-Modus Hilfetexte haben möchtest
mnuHoverLabelServerPort,This is the port if you are server in a multiplayer game.,Port-Nummer wenn du in einem Multiplayer-Spiel der Server bist
btnAbortProduction,Abort Production,Produktion abbrechen
btnBpFactory,Factory,Fabrik
btnBpLibrary,Library,Bibliothek
btnOpenWorkshop,Open Workshop,Workshop öffnen
btnPublish,Publish,Veröffentlichen
btnRevert,Revert,Rückgängig
btnSpawn,Spawn,Objekt erzeugen
btnStartProduction,Start Production,Start Produktion
btnToFactory,To Factory,In Fabrik
mnuAmount,Amount,Menge
mnuBlockCount_b,Block count: ,Blockanzahl: 
mnuNoBpInFactory,No Blueprint in Factory,Kein Bauplan in der Fabrik
mnuRemainTime,Remaining Time:,Restzeit:
mnuResourceIntake,Intake,Eingabe
mnuSizeWHD:_,Size (WxHxD): ,Größe (BxHxT): 
mnuSrc,Src,Quelle
mnuTitleBlueprints,Blueprints,Baupläne
mnuTitleInfos,Infos,Infos
mnuTitleResourcesAndTime,Resources / Time,Rohstoffe / Zeit
mnuTotalProdTime,Total Production Time:,Gesamt-Produktionszeit:
igmNoPrefabInBpFactory,No Blueprint in Factory,Kein Bauplan in der Fabrik
igmItemNoContribToBp,Item doesn't contribute to Blueprint production,Element trägt nicht zur Produktion des Bauplans bei
mnuNoBlueprints,No Blueprints,Keine Baupläne
mnuNoBlueprintSelected,No Blueprint selected,Kein Bauplan ausgewählt
mnuBpType_b,Type: ,Typ: 
mnuBpName_b,Name: ,Name: 
mnuRespawnHomeInfo,Respawn at your home base on {0},Auf deiner Heimatbasis auf {0} spawnen
mnuRespawnHomeNoSpawnPoint,Your home base has no medic station,Deine Heimatbasis hat keine Medizinstation
mnuRespawnHomeMoving,Your home base may not move,Deine Heimatbasis darf sich nicht bewegen
mnuRespawnNotFound,Your home base was not found,Deine Heimatbasis wurde nicht gefunden
mnuRespawnWrongFaction,Your home base has the wrong faction,Deine Heimatbasis hat die falsche Fraktion
mnuRespawnHomeUndef,Cannot spawn on your home base,Kann nicht auf deiner Heimatbasis spawnen
texNote,Note: You cannot use symbols from different pages on the same block,Beachte: Du kannst keine Symbole von verschiedenen Seiten auf dem selben Block verwenden
texChooseTexture,Choose Texture,Wähle ein Textur aus
texChooseColor,Choose Color,Wähle eine Farbe aus
texTextures,Textures,Texturen
texSymbols,Symbols,Symbole
texPage,Page {0} / {1},Page {0} / {1}
blkChooseShape,Choose Shape,Wähle eine Form aus
mnuPDA,PDA,PDA
mnuContent,Content,Inhalt
mnuDescription,Description,Beschreibung
mnuActions,Actions,Aktionen
mnuTopics,Topics,Inhalt
btnActivateChapter,Activate Chapter,Kapitel aktivieren
btnDeactivateChapter,Deactivate Chapter,Kapitel deaktivieren
btnActivateMission,Activate Mission,Mission aktivieren
btnDeactivateMission,Deactivate Mission,Mission deaktivieren
igmYouCompletedAction,You successfully completed '{0}',Du hast erfolgreich '{0}' erledigt
igmOtherCompletedAction,{0} successfully completed '{1}',{0} hat erfolgreich '{1}' erledigt
igmChapterCompleted,Congratulations! You completed PDA chapter '{0}',Glückwunsch! Du hast PDA Kapitel '{0}' erledigt
igmMissionCompleted,Congratulations! You completed the mission '{0}',Glückwunsch! Du hast die Mission '{0}' erledigt
igmChapterAutoActivated,In your PDA the chapter '{0}' was auto-activated. Open your PDA with F1,In deinem PDA wurde automatisch Kapitel '{0}' aktiviert. Öffne dein PDA mit F1
hintBpNotUsable,(Contains forbidden block or has wrong version),(Enthält verbotenen Block oder ist falsche Version)
hintBpNotAllowedType,(Exceeds max number for certain block type or blueprint type disabled by server),(Übersteigt max erlaubt Anzahl für best. Blocktyp od. Bauplan-Typ ist vom Server gesperrt)
hintBpTooLarge,(Blueprint size is restricted by the server),(Bauplan-Größe ist vom Server beschränkt)
srvNoPermission,Permission error: Command '{0}' cannot be executed by client {1},Berechtigungsfehler: Kommando '{0}' kann nicht von Anwender {1} ausgeführt werden
srvStopWarning,WARNING: In {0} minute(s) the '{1}' server will be stopped! After that you can reconnect within a minute.,WARNUNG: In {0} Minuten wird der '{1}' Server gestoppt. Danach kannst du dich innerhalb einer Minute wieder einloggen.
srvStopAllWarning,WARNING: In {0} minute(s) all playfield servers will be stopped! After that you can reconnect within a minute.,WARNUNG: In {0} Minuten werden die Spielfeld-Server gestoppt. Danach kannst du dich innerhalb einer Minute wieder einloggen.
srvExitWarning,WARNING: In {0} minute(s) the server will be shutdown! Please log out timely to avoid data loss.,"WARNUNG: In {0} Minuten wird der Server heruntergefahren. Bitte rechtzeitig ausloggen, um Datenverlust zu vermeiden."
texWholeBlock,Apply to Whole Block,Auf ganzen Block anwenden
bswTitle,Building Tools,Bauhilfen
bswNone,None,Keine
bswXY,XY,XY
bswXZ,XZ,XZ
bswYZ,YZ,YZ
bswSymmetry,Symmetry Plane:,Symmetrieachse:
bswShowSI,Show Structural Integrity,Zeige strukturelle Integrität
bswShowCOM,Show Center Of Mass,Zeige Massezentrum
bswUndo,Undo,Schritt zurück
bswRedo,Redo,Schritt vorwärts
invPDA,PDA,PDA
invBlueprints,Blueprints,Baupläne
dlgSetBlueprintGroupTo,Set blueprint group name to:,Benenne die Gruppe des Bauplanes:
cplIntensity,Intensity,Intensität
cplRange,Range,Reichweite
mnuRespNearSpawnPointTitle,Medic Station / Clone Chamber,Medizinstation / Klonkammer
mnuRespNearSpawnPointDesc,Respawn at nearest Medic Station / Clone Chamber.,In der nächstgelegenen Medizinstation / Klonkammer spawnen.
mnuRespLocalTitle,Current Location,Aktueller Standort
mnuRespLocalDesc,Respawn near your death location.,In der Nähe deines Sterbeorts spawnen.
mnuRespHomeTitle,Home Base,Heimatbasis
mnuRespFreshStartTitle,Fresh Start,Kompletter Neustart
mnuStartWorldChange,"You will re-enter the game on {0} in your escape pod. [c][ff4040]Note: All other players will lose their inventory and get respawned on {0}, too.",Du wirst das Spiel neu auf {0} in deiner Rettungskapsel beginnen. [c][ff4040]Hinweis: Alle anderen Spieler verlieren ihre Gegenstände und werden auch auf {0} versetzt.
mnuStartWorldChangeAlone,You will re-enter the game on {0} in your escape pod.,Du wirst das Spiel neu auf {0} in deiner Rettungskapsel beginnen.
dlgEacIntegrityProblem,EAC detected an integrity problem:,AntiCheat hat ein Integritätsproblem festgestellt:
dlgEacUnknownError,Unknown EAC error:,Unbekannter AntiCheat-Fehler:
dlgOnlyUnprotectedMP,Multiplayer is only possible with unprotected servers!,Mehrspieler-Modus nur mit nicht geschützten Servern möglich!
groupFood,Food & Medical,Essen & Medizin
groupWeaponsItems,Weapons & Items,Waffen & Gegenstände
groupBuildingBlocks,Building Blocks,Baublöcke
groupComponents,Components,Komponenten
groupDevices,Devices,Geräte
groupDecoBlocks,Decoration Blocks,Dekorationsblöcke
placeEverywhere,All Objects,Alle Objekte
placeBA,Bases,Basen
placeCV,Capital Vessels,Grosse Raumschiffe
placeSV,Small Vessels,Kleine Raumschiffe
placeHV,Hover Vessels,Bodengleiter
bptypeOwn,Own,Eigene
bptypeStock,Stock,Standard
bptypeWorkshop,Workshop,Workshop
cplFaction,Faction:,Fraktion:
cplTitle,Control Panel,Steuerkonsole
cplActive,Active,Aktiv
cplPowered,Powered,Strom
cplHome,Home,Home
biwInputItems,Input Items:,Benötigt:
biwOutputCount,Output Count:,Produktionsmenge:
Fridge,Fridge,Kühlschrank
Growing Light,Growing Light,Pflanzenleuchte
Light,Light,Licht
Medic,Medic,Medizin
O2 Station,O2 Station,O2 Station
O2 Tank,O2 Tank,O2 Tank
Passenger Seat,Passenger Seat,Passagiersitz
Turret,Turret,Geschütz
Gravity Generator,Gravity Generator,Schwerkraft-Generator
Cargo Box,Cargo Box,Frachtbox
Ammo,Ammo Box,Munitionskiste
Warp,Warp,Warp
Door,Door,Türe
HangarShutterDoor,Hangar/Shutter Door,Hangar/Rolltore
Ramp,Ramp,Rampe
LCD,LCD Screen,LCD Display
Ungrouped,Ungrouped,Ungruppiert
dlgFileLockedCantDeleteGame,"Can't delete savegame, some file(s) are locked. Please try again later.","Kann Spiel nicht löschen, weil Dateien gesperrt sind. Bitte später erneut probieren."
dlgFileLockedCantCopyGame,"Can't copy savegame, some file(s) are locked. Please try again later.","Kann keine Kopie von Spiel erstellen, weil Dateien gesperrt sind. Bitte später erneut probieren."
dlgFileLockedCantRenameGame,"Can't rename savegame, some file(s) are locked. Please try again later.","Kann Spiel nicht umbenennen, weil Dateien gesperrt sind. Bitte später erneut probieren."
dlgAreYouSureToDeleteGame,Are you sure you want to delete '{0}'?,Möchtest du '{0}' tatsächlich löschen?
dlgCopyErrorPleaseDelete,An error occured while copying the savegame: {0}\nPlease delete the probably incomplete copy.,Beim Erstellen der Kopie ist ein Fehler aufgetreten: {0}\nBitte lösche die vermutlich unvollständige Kopie.
dlgRenameErrorPleaseCheckFiles,An error occured during renaming: {0}\nPlease check the savegame files and directories.,Beim Umbenennen ist ein Fehler aufgetreten: {0}\nBitte prüfe die Spieldateien und -verzeichnisse.
dlgDeleteErrorPleaseDelManually,An error occured during deleting: {0}\nThe savegame is probably incomplete - please delete manually.,Beim Löschen ist ein Fehler aufgetreten: {0}\nDie Spieldaten sind jetzt wahrscheinlich unvollständig - bitte lösche den Rest von Hand.
dlgRenameGame,Rename Game,Spiel umbenennen
dlgHintGameNameExists,(Name already in use),(Name bereits verwendet)
dlgHintInvalidFileName,(Invalid filename),(Ungültiger Dateiname)
dlgServerError,Server error,Serverfehler
dlgCannotUsePortStartOnlyOne,Cannot use IP port. Please start only one server instance of the game.,Kann IP Port nicht verwenden. Bitte das Spiel nur einmal starten.
igmRunOnlyWithJetpackOff,You can run only when jetpack is off,Rennen nur möglich wenn Jetpack aus ist
dlgNoInputAssignedFor,The following actions have no input assigned:,Für die folgenden Aktionen wurde keine Eingabe zugewiesen:
btnUnderstood,Understood,Verstanden
dlgNoLongerUsableSavegames,The following savegames are no longer usable:,Die folgenden Spielstände sind nicht mehr verwendbar:
dlgPleaseDelete,Please delete them.,Bitte löschen.
cplStatistics,Statistics:,Statistik:
vstTitle,Statistics,Statistiken
vstGeneral,General,Allgemein
vstLifeSupport,Life Support,Lebenserhaltungssystem
vstCargo,Cargo,Ladung
vstAttackDefense,Attack/Defense,Angriff / Verteidigung
vstThrusterRCS,Thrusters/RCS,Schubdüsen/RCS
vstAccelThrusterTorque,Acceleration/Thrust/Torque,Beschleunigung/Schub/Drehmoment
vstDocked,Docked,Angedockt
vstPassengers,Passengers,Passagiere
vstRoll,Roll,Rollen
vstPitch,Pitch,Nicken
vstYaw,Yaw,Gieren
vstSize,Size (WxDxH):,Größe (BxTxH):
vstBlockCount,Block Count:,Anzahl Blöcke:
vstMass,Mass:,Masse:
vstGenerators,Generators:,Generatoren:
vstMaxOutput,Max Output:,Max. Leistung:
vstConsumption,Consumption:,Verbrauch:
vstFuel,Fuel:,Benzin:
vstPowerLeft,Power Left:,Strom für:
vstWarpDrive,Warp Drive / Available AU:,Warpantrieb / Verfügbare AU:
vstAvailableAU,Available AU:,Verfügbare AU:
vstOxygen,Oxygen:,Sauerstoff:
vstOxygenStations,Oxygen Stations:,Sauerstoffstationen:
vstMedicStations,Medic Stations:,Medizinstationen:
vstCloneChambers,Clone Chambers:,Klonkammern:
vstCargoBoxes,Cargo Boxes:,Frachtboxen:
vstAmmoContainers,Ammo Boxes:,Munitionskisten:
vstFuelTanks,Fuel Tanks:,Treibstofftanks:
vstOxygenTanks,Oxygen Tanks:,Sauerstofftanks:
vstThrusters,Thrusters:,Schubdüsen:
vstRCS,RCS:,RCS:
cplStatisticsTooltip,Statistics,Statistiken:
cplAccessTooltip,Press the button to directly access the device,Drücke auf den Knopf um direkt auf den Block zuzugreifen
cplAccess,Access:,Zugriff:
mnuAmbientVolume,Ambient Volume,Ambiente Lautstärke
fctReducedProductionTime,Components/Blocks can be added into BP factory for reduced Production Time,Komponenten/Blöcke können zur BP Fabrik hinzugefügt werden um die Produktionszeit zu reduzieren.
pdaShowHud,Show in HUD,HUD-Anzeige
dlgReallyCompleteAction,Really manually complete this action?\n\nSuggestion: Please read the action's description at least - it contains useful hints!,Aktion wirklich manuell erledigen?\n\nVorschlag: Lies zumindest die Beschreibung der Aktion - sie enthält nützliche Tipps!
mnuManualCompletionHint,(* = can be manually completed),(* = kann manuell erledigt werden)
bmDesertLowPlains,Low Plains,Niedriges Flachland
bmDesertHighPlains,High Plains,Hohes Flachland
bmMountains,Mountains,Berge
bmSmallLake,Lake,See
bmWater,Lake,See
bmTropicalForest,Tropical Forest,Tropischer Wald
bmOpenPlains,Open Plains,Offene Prärie
bmOcean,Ocean,Ozean
bmIslands,Islands,Inselwelt
bmBarrenFog,Mist,Nebelgebiet
bmBarrenRocks,Barren Rocks,Felsen
bmBarrenOpenPlains,Open Plains,Flachland
bmLavaPlains,Lava Plains,Flachland
bmLava,Lava,Lava
bmSwamp,Swamp,Sumpf
bmAlienForest,Alien Forest,Wald
bmAlienSavanna,Alien Savanna,Savanne
bmDesertLargeRocks,Large Rocks,Felsen
bmDesertSolitude,Desert Solitude,Einöde
bmDesertLowMountains,Low Mountains,Niedrige Berge
bmLavaFog,Lava Fog,Nebelgebiet
bmArcticForest,Artic Forest,Wald
bmArcticLowPlains,Low Plains,Flachland
bmArcticHighForest,Artic High Forest,Wald
bmArcticIntermediatePlains,Intermediate Plains,Mittleres Flachland
bmArcticHighPlains,High Plains,Hochgelegene Ebene
bplBlueprints,Blueprints,Baupläne
bplCompleted,Completed,Abgeschlossen
mnuEAC,Start with EAC:,Mit EAC starten:
mnuHoverLabelEAC,This determines if Empyrion is started the next time with or without EAC protection (requires restart of Empyrion),"Diese Einstellung legt fest, ob Empyrion beim nächsten Mal mit oder ohne EAC gestartet wird (Neustart erforderlich)"
cplOfflineProtection,Offline Protection:,Offlineschutz:
btnCopy,Copy,Kopieren
mnuTitleServerConfig,Server Configuration,Server-Konfiguration
scfgGameModeId,Game Mode,Spielmodus
scfgStopPeriod,Playfield Auto-Restart,Spielfeld Auto-Neustart
scfgOfflProtTime,Offline Protection Time,Offline Schutzzeit
scfgWipeTime,Remove Time (Unvisited Structures),Löschzeit nicht besuchter Strukturen
scfgDecayTime,Remove Time (Unvisited Mini Structures),Löschzeit nicht besuchter Mini-Strukturen
scfgMaxStructures,Max. Structures per Playfield,Max. Anzahl Strukturen pro Spielfeld
scfgAntiGriefDist,Anti-Griefing Distance,Anti-Störer Abstand
scfgNumPlayfields,Number of Playfields,Anzahl Spielfelder
scfgNumStartPlanets,Number of Starting Planets,Anzahl Startplaneten
lblDisabled,Disabled,Deaktiviert
unitAbbrMinutes,min,Min
unitAbbrHours,h,Std
unitAbbrDays,d,T
unitDay,day,Tag
unitDays,days,Tage
mapDistance,Distance:\n{0:f1} AU,Distanz:\n{0:f1} AU
mnuStructuresAvailable,Structures Used:,Verwendete Strukturen:
cplClearGroups,WARNING: This will clear your current item names and groups.,WARNUNG: Dies wird die bestehenden Objektnamen und Gruppen löschen
btnSrvInternet,Internet,Internet
btnSrvHistory,History,Kürzlich
btnSrvFriends,Friends,Freunde
mapSectorMapTitle,Sector Map,Sektorenkarte
hintCheckPdaWhenInGame,"Gameplay questions? The PDA ( '{0}' ) not only provides answers in the Knowledge Base, but also offers detailed info about the Tutorial!","Fragen zum Spiel? Der PDA ( '{0}' ) gibt dir nicht nur Antworten in der Wissensdatenbank, sondern auch ausführliche Hinweise zum Tutorial!"
mnuResolution,Resolution,Auflösung
mnuFullscreen,Fullscreen,Vollbild
mnuVSync,VSync,VSync
mnuGamma,Gamma,Gamma
mnuFOV,FOV,FOV
mnuQualityPreset,Quality Preset,Qualitätseinstellung
mnuSSAO,SSAO,SSAO
mnuSharpen,Image Processing,Bildverarbeitung
mnuBloom,Bloom,Bloom
mnuTextureResolution,Texture Resolution,Texturauflösung
mnuDecoDistance,Deco Distance,Dekorationsdistanz
mnuGrassDistance,Grass Distance,Grassdistanz
bhiResolution,Set the Resolution used for the Game,Legt die Bildschirmauflösung im Spiel fest
bhiFullscreen,Enable/Disable Fullscreen,Aktiviert/Deaktiviert Vollbild
bhiVSync,Enable/Disable Vertical Sync,Aktiviert/Deaktiviert Vertikale Synchronisierung
bhiGamma,,
bhiFOV,Adjust the Field of View,Stellt das Sichtfeld ein
bhiQualityPreset,"Select a Quality Preset, or Set your own Custom Values Below","Verwende eine vordefinierte Qualitätseinstellung, oder wähle deine eigenen Werte"
bhiSSAO,Enable/Disable Screen Space Ambient Occlusion,Aktiviert/Deaktiviert Screen Space Ambient Occlusion
bhiSharpen,Enable/Disable Image Processing,Aktiviert/Deaktiviert Bildverarbeitung
bhiBloom,Enable/Disable Bloom,Aktiviert/Deaktiviert Bloomeffekt
bhiTextureResolution,"Set Overall Texture Resolution (except Character Model). Limited to ""Half"" if Video Memory is 1GB or less.","Legt die allgemeine Texturauflösung fest (ausser Spielermodell). Auf ""halb"" limitiert wenn VRAM deiner Videokarte 1GB oder weniger beträgt. "
bhiDecoDistance,Set Maximum Decoration Distance. You must restart the game for this to take effect,Legt die maximale Dekorationsdistanz fest. Du musst das Spiel neu starten damit die Änderung in Kraft tritt.
bhiGrassDistance,Set Maximum Grass Distance. You must restart the game for this to take effect,Legt die maximale Grassdistanz fest. Du musst das Spiel neu starten damit die Änderung in Kraft tritt.
mnuCustom,Custom,Benutzerdefinierte Einstellung
tipQuit,Quit,Exit
tipOptions,Options,Optionen
tipSave,Backup,Backup
tipInventory,Inventory,Inventar
tipMap,Map,Karte
tipControlPanel,Control Panel,Steuerkonsole
tipBlueprintLibrary,Blueprint Library,Bauplan-Bibliothek
tipGettingStarted,Getting Started,Starthilfe
tipDebugOptions,Debug Options,Debug Optionen
mnuNewGameName,NewGame,NeuesSpiel
lblMarketplace,Marketplace,Marktplatz
btnCreateOffer,Create Offer,Angebot erstellen
btnRemoveOffer,Remove Offer,Angebot entfernen
btnAcceptOffer,Accept Offer,Angebot annehmen
btnClaimAll,Claim All,Alles übernehmen
btnWanted,Wanted,Gesucht
btnForSale,For Sale,Zu verkaufen
btnRecent,Recent,Kürzlich
btnPending,Pending,Unerledigt
lblId,Id,Id
lblItem,Item,Gegenstand
lblPrice,Price,Preis
lblPPI,Unit Price,Einzelpreis
lblDuration,Duration,Dauer
lblFeeNPercent:,Fee ({0}%):,Gebühr ({0}%):
lblRevenue:,Revenue:,Erlös:
lblTotal:,Total:,Gesamt:
msgFeatureDisabledInExperimental,Feature is currently disabled in Experimental version,Funktion ist momentan in Experimental-Version deaktiviert
lblCreateBuyOffer,Create Buy Offer,Kaufangebot erstellen
lblCreateSellOffer,Create Sell Offer,Verkaufsangebot erstellen
lblInventory,Inventory,Inventar
lblBuyableItems,Buyable Items,Kaufbare Gegenstände
lblOfferDetails,Offer Details,Angebotsdetails
lblAmount:,Amount:,Anzahl:
lblPrice:,Price:,Preis:
lblDuration:,Duration (h:m):,Dauer (h:m):
lblAmount,Amount,Anzahl
lblSince,Since,Seit
btnCancel,Cancel,Abbrechen
lblBuyer,Buyer,Käufer
lblVendor,Vendor,Verkäufer
lblStatus,Status,Status
lblBuy,Buy,Kauf
lblSale,Sale,Verkauf
lblExpired,expired,abgelaufen
lblAccepted,accepted,ausgeführt
mnuDifficultyPreset,Difficulty Preset:,Schwierigkeitsgrad:
mnuEscapePodContent,Escape Pod Content:,Inhalt Rettungskapsel
mnuAmountofOre,Amount of Ore per Deposit:,Rohstoffgehalt pro Erzlager:
mnuNumberofDeposits,Number of Deposits:,Anzahl Erzlager:
mnuOverallDronePresence,Overall Drone Presence:,Anzahl Drohnen:
mnuDroneBaseAttack,Drone Base Attack:,Drohnenangriffe auf Basis:
mnuRateofNPCSpawn,Rate of NPC Spawn:,Spawnrate NPC:
mnuEnemyDifficulty,Enemy Difficulty:,Schwierigkeitsgrad Feinde:
mnuConstructorCraftSpeed,Constructor Craft Speed:,Geschwindigkeit Konstruktoren:
mnuBlueprintProductionSpeed,Blueprint Production Speed:,Geschwindigkeit Blueprints:
mnuDifficultySettings,Difficulty Settings,Schwierigkeitsgrad:
difDifficultyPresetEasy,Easy,Leicht
difDifficultyPresetMedium,Medium,Mittel
difDifficultyPresetHard,Hard,Schwer
difEscapePodContentEasy,Easy,Leicht
difEscapePodContentMedium,Medium,Mittel
difEscapePodContentHard,Hard,Schwer
difAmountofOreEasy,Rich,Reichhaltig
difAmountofOreMedium,Normal,Normal
difAmountofOreHard,Poor,Geringhaltig
difNumberofDepositsEasy,Plenty,Viel
difNumberofDepositsMedium,Normal,Normal
difNumberofDepositsHard,Few,Wenig
difOverallDronePresenceEasy,Low,Wenig
difOverallDronePresenceMedium,Normal,Normal
difOverallDronePresenceHard,High,Viel
difOverallDronePresenceOff,Off,Aus
difDroneBaseAttackEasy,Easy,Leicht
difDroneBaseAttackMedium,Medium,Mittel
difDroneBaseAttackHard,Hard,Schwer
difDroneBaseAttackOff,Off,Aus
difRateofNPCSPawnEasy,Low,Niedrig
difRateofNPCSPawnMedium,Normal,Normal
difRateofNPCSPawnHard,High,Hoch
difEnemyDifficultyEasy,Easy,Leicht
difEnemyDifficultyMedium,Medium,Mittel
difEnemyDifficultyHard,Hard,Schwer
difConstructorCraftSpeedEasy,Fast,Schnell
difConstructorCraftSpeedMedium,Normal,Normal
difConstructorCraftSpeedHard,Slow,Langsam
difBlueprintProductionSpeedEasy,Fast,Schnell
difBlueprintProductionSpeedMedium,Normal,Normal
difBlueprintProductionSpeedHard,Slow,Langsam
bhiDifficultyPreset,Choose between different presets.,Wähle zwischen verschiedenen Voreinstellungen
bhiEscapePodContent,Determines the content of the Escape Pod when you crash land on the planet.,Bestimmt den Inhalt deiner Rettungskapsel wenn du auf dem Planeten notlandest.
bhiAmountofOre,Influences the average amount of ore that a deposit contains. Only affects new games or playfields that have not yet been visited.,Beeinflusst die durchschnittliche Menge an Rohstoffen die sich in einem Erzlager befinden. Hat nur einen Einfluss für neue Spiele bzw noch nicht besuchte Playfields.
bhiNumberofDeposits,Influences the average number of deposits per planet. Only affects new games or playfields that have not yet been visited.,Beeinflusst die durchschnittliche Anzahl an Erzlagern pro Planet. Hat nur einen Einfluss für neue Spiele bzw noch nicht besuchte Playfields.
bhiOverallDronePresence,Influences the overall number of drones that are present on a planet.,Beeinflusst die Gesamtanzahl an Drohnen pro Planet.
bhiDroneBaseAttack,"Influences the difficulty of the drone base attacks (number of waves, number of drones per wave, etc.)","Beeinflusst den Schwierigkeitsgrad der Drohnenangriffe auf deine Basis (Anzahl der Angriffswellen, Zusammensetzung etc.)"
bhiRateofNPCSpawn,Influences the spawn rate of enemy NPCs on a planet.,Beeinflusst die Spawnrate der feindlichen NPC pro Planet.
bhiEnemyDifficulty,Influences the overall difficulty when attacking enemies.,Beeinflusst den allgemeinen Schwierigkeitsgrad von Feindinteraktionen.
bhiConstructorCraftSpeed,Influences the overall craft speed of constructors.,Beeinflusst die allgemeine Geschwindigkeit von Konstruktoren
bhiBlueprintProductionSpeed,Influences the overall production speed of the blueprint factory.,Beeinflusst die Geschwindigkeit für die Herstellung von Blueprints.
mapAtmosphereO2,Atmosphere O2 / Breathable:,Atmosphäre O2 / Atembar:
lblBalance,Balance,Guthaben
lblBalance:,Balance:,Guthaben:
upgTlUpgrade,Upgrade,Aufwerten
upgTlNotAvail,No upgrade available,Aufwerten nicht verfügbar
upgTlNeeded,Needed,Benötigt
upgTlReturned,Returned,Zurück
upgTlFrom,From,Von
upgTlTo,To,Zu
btnDifficulty,Difficulty,Schwierigkeitsgrad
hintSelectItemInList,Please select an item in the list,Bitte wähle einen Gegenstand in der Liste aus
hintEnterAmount,Please enter an amount,Bitte gib eine Anzahl ein
hintMalformedAmount,Malformed amount,Anzahl fehlerhaft
hintEnterAmount>0,Amount has to be > 0,Anzahl muss größer als 0 sein
hintAmount>MaxStackCount,Amount > max. stack count ({0}),Anzahl ist größer als max. Stapelmenge ({0})
hintCount>OfferedCount,Count > offered count,Anzahl ist größer als angebotene Anzahl
hintHaveOnlyNItems,You only have {0}x {1},Du hast nur {0}x {1}
