"String Identifier","English (United States)","Chinese Simplified",French,German,"Portuguese (Brazil)",Spanish,"String Description"
CurveQuarter,"Round Corner Long",,"Coin arrondi, long","Runde Ecke (lang)","Round Corner Long","Esquina Redonda Larga",
CurveQuarterThin,"Round Corner Long Thin",瘦长圆角,"Angle arrondi, long, fin","Runde Ecke (lang und dünn)",,"Esquina Redonda Larga Delgada",
QuarterRound,"Round Slope",,"Pente arrondie","Runde Rampe","Round Slope","Pendiente redonda",
Cylinder,Cylinder,,Cylindre,Zylinder,Cilindro,Cilindro,
HalfRoundInv,"Inward Corner",,"Coin inversé","Ecke (invertiert)","Inward Corner","Esquina interior",
QuarterRoundInv,"Inward Round Slope",,"Pente arrondie entrante","Runde Rampe (invertiert)","Inward Round Slope","Pendiente interior redonda",
CurveOutSlopeInv,"Inward Curved Corner",,"Coin inversé arrondi","Gekrümmte Ecke (invertiert)","Inward Curved Corner","Esquina interior redonda",
RoundSlopeEdgeInward,"Round Slope Edge Inward",,"Bord de pente arrondie entrante","Runde Steigung (Ecke innen)","Round Slope Edge Inward","Borde de inclinación redondeado hacia adentro",
CylinderEndA,"Cylinder End A",,"Extrémité de cylindre A","Zylinder (Ende A)","Final de cilindro A","Extremo del cilindro A",
CylinderEndB,"Cylinder End B",,"Extrémité de cylindre B","Zylinder (Ende B)","Final de cilindro B","Extremo del cilindro B",
CylinderEndC,"Cylinder End C",,"Extrémité de cylindre C","Zylinder (Ende C)","Final de cilindro C","Extremo del cilindro C",
RampWedgeTop,"Ramp Wedge Top",,"Haut de rampe plein","Keilrampe Oberteil","Borda de rampa superior","Parte superior de la cuña de la rampa",
Round4WayConnector,"Round 4 Way Connector",,"Connecteur arrondi à 4 voie","Runde Vier-Wege Verbindung","Round 4 Way Connector","Conector redondo de 4 vías",
RoundSlopeEdge,"Round Slope Edge",,"Bord de pente arrondi","Runde Steigung (Ecke)","Round Slope Edge","Borde de pendiente redonda",
CornerLargeB,"Corner Large B","Corner Large B","Coin large B","Ecke groß (B)","Corner Large B","Esquina grande B",
CornerLargeC,"Corner Large C","Corner Large C","Coin large C","Ecke groß (C)","Corner Large C","Esquina grande C",
CornerLargeD,"Corner Large D","Corner Large D","Coin large D","Ecke groß (D)","Corner Large D","Esquina grande D",
CornerLongE,"Corner Long E","Corner Long E","Coin long E","Ecke lang (E)","Canto longo E","Esquina grande E",
PyramidA,"Pyramid A","Pyramid A","Pyramide A","Pyramide (A)","Piramidal A","Piramide A",
Wall,Wall,墙,Mur,Wand,Wall,Pared,
WallCorner,"Wall L-shape","Wall L-shape","Mur en L","Wand L-Form","Wall L-shape","Pared en forma de L",
WedgeThin,"Thin Slope","Thin Slope","Pente mince","Rampe (dünn)","Thin Slope","Pendiente delgada",
CornerThin,"Thin Corner","Thin Corner","Coin mince","Ecke (dünn)","Thin Corner","Esquina delgada",
WallSloped,"Sloped Wall","Sloped Wall","Mur en pente","Schräge Wand","Sloped Wall","Pared inclinada",
WallSlopedBottom,"Sloped Wall Bottom (right)","Sloped Wall Bottom (右)","Bas de mur en pente (droite)","Schräge Wand (unten, rechts)","Muro inclinado (inf dir)","Parte inferior inclinada de la pared (der)",
WallSlopedTop,"Sloped Wall Top (right)","Sloped Wall Top (right)","Haut de mur en pente (droite)","Schräge Wand (oben, rechts)","Muro inclinado (sup dir)","Tapa de pared inclinada (der)",
WallSlopedBottom2,"Sloped Wall Bottom (left)","Sloped Wall Bottom (左)","Bas de mur en pente (gauche)","Schräge Wand (unten, links)","Muro inclinado (inf esq)","Parte inferior inclinada de la pared (izq)",
WallSlopedTop2,"Sloped Wall Top (left)","Sloped Wall Top (左)","Haut de mur en pente (gauche)","Schräge Wand (oben, links)","Muro inclinado (sup esq)","Tapa de pared inclinada (izq)",
CornerRoundThin,"Round Corner Thin","Round Corner Thin","Coin arrondi mince","Runde Ecke (dünn)","Round Corner Thin","Esquina redonda delgada",
QuarterRoundThin,"Round Slope Thin","Round Slope Thin","Pente arrondie mince","Runde Rampe (dünn)","Round Slope Thin","Pendiente redonda delgada",
InvertedCornerRoundThin,"Round Cut Corner Thin","Round Cut Corner Thin","Coin coupé arrondi mince","Runde Ecke (abgeschnitten, dünn)",,"Esquina redondeada delgada",
RoundSlopeEdgeThin,"Round Slope Edge Thin","Round Slope Edge Thin","Bord de pente arrondi mince","Runde Steigung (dünner Rand)","Round Slope Edge Thin","Borde de pendiente redondeado delgado",
RoundCornerLongThin,"Round Corner Long Thin","Round Corner Long Thin","Coin arrondi long mince","Runde Ecke (lang und dünn)","Round Corner Long Thin","Esquina redonda larga delgada",
CornerRoundThin2,"Corner Round Thin 2","Corner Round Thin 2","Coin arrondi mince 2","Runde Ecke (dünn 2)","Corner Round Thin 2","Esquina redonda delgada 2",
CornerThin2,"Corner Thin 2 ","Corner Thin 2 ","Coin mince 2","Dünne Ecke 2","Cando fino 2","Esquina delgada 2",
Wall3Corner,"Wall 3 Corner","Wall 3 Corner","Mur à 3 côtés","Wand 3 Ecke","Canto do Muro 3","Esquina de pared 2",
WallHalf,"Wall Half","Wall Half","Demi mur","Halbe Wand","Meio muro","Muro de la pared",
CubeHalf,"Cube Half",半立方体,"Demi cube","Halber Würfel","Meio cubo","Mitad cubo",
RampTopDouble,"Ramp Top Double","Ramp Top Double","Haut de rampe double","Rampe Oberteil doppelt","Ramp Top Double","Parte superior de la rampa doble",
RampBottomA,"Ramp Bottom A","Ramp Bottom A","Bas de rampe A","Rampe Unterteil A","Ramp Bottom A","Parte inferior de la rampa A",
RampBottomB,"Ramp Bottom B","Ramp Bottom B","Bas de rampe B","Rampe Unterteil B","Ramp Bottom B","Parte inferior de la rampa B",
RampBottomC,"Ramp Bottom C","Ramp Bottom C","Bas de rampe C","Rampe Unterteil C","Ramp Bottom C","Parte inferior de la rampa C",
RampWedgeBottom,"Ramp Wedge Bottom","Ramp Wedge Bottom","Coin de bas de rampe","Rampe Keil Unterteil","Ramp Wedge Bottom","Parte inferior de la cuña de rampa",
Beam,Beam,Beam,Poutrelle,Strahl,Beam,Haz,
CylinderThin,"Cylinder Thin","Cylinder Thin","Cylindre mince","Dünner Zylinder","Cylinder Thin","Cilindro delgado",
CylinderThinTJoint,"Cylinder Thin T Joint","Cylinder Thin T Joint","Cylindre mince joint en T","Zylinder dünn T-Verbindung","Cylinder Thin T Joint","Cilindro de unión en T delgado",
CylinderThinCurved,"Cylinder Thin Curved","Cylinder Thin Curved","Cylindre mince courbé","Zylinder dünn kurvig","Cylinder Thin Curved","Cilindro delgado curvado",
CylinderFenceBottom,"Cylinder Fence Bottom","Cylinder Fence Bottom","Cylindre palissade, bas","Zylinder Zaun Unterteil","Cylinder Fence Bottom","Parte inferior de la barrera del cilindro",
CylinderFenceTop,"Cylinder Fence Top","Cylinder Fence Top","Cylindre palissade, haut","Zylinder Zaun Oberteil","Cylinder Fence Top","Tapa del Cilindro",
SlopeHalf,"Slope Half","Slope Half","Demi pente","Steigung halb","Slope Half","Pendiente Media",
RampSteep,"Ramp Steep",斜坡,"Rampe escarpée","Rampe steil","Ramp Steep","Rampa empinada",
WindowSmallBlocks,"Window Blocks S",小型窗户,"Bloc fenêtre petit","Fensterblöcke S","Window Blocks S","Bloques de Ventanas S",
WindowLargeBlocks,"Window Blocks L",大型窗户,"Bloc fenêtre grand","Fensterblöcke L","Window Blocks L","Bloques de Ventanas L",
Window_v1x1,"Vertical 1x1","Vertical 1x1","Verticale 1x1","Vertikal 1x1","Vertical 1x1","Vertical 1x1",
Window_v1x2,"Vertical 1x2","Vertical 1x2","Verticale 1x2","Vertikal 1x2","Vertical 1x2","Vertical 1x2",
Window_v2x2,"Vertical 2x2","Vertical 2x2","Verticale 2x2","Vertikal 2x2","Vertical 2x2","Vertical 2x2",
Window_s1x1,"Slope 1x1","Slope 1x1","Pente 1x1","Schräg 1x1","Slope 1x1","Pendiente 1x1",
Window_s1x2,"Slope 1x2","Slope 1x2","Pente 1x2","Schräg 1x2","Slope 1x2","Pendiente 1x2",
Window_sd1x1,"Side 1x1","Side 1x1","Côté 1x1","Seitlich 1x1","Side 1x1","Lado 1x1",
Window_sd1x2,"Side 1x2","Side 1x2","Côté 1x2","Seitlich 1x2","Side 1x2","Lado 1x2",
Window_sd1x2V2,"Side 2 1x2","Side 2 1x2","Côté 2 1x2","Seitlich 2 1x2","Side 2 1x2","Lado 2 1x2",
Window_c1x1,"Corner 1x1","Corner 1x1","Coin 1x1","Ecke 1x1","Corner 1x1","Esquina 1x1",
Window_c1x2,"Corner 1x2",,"Coin 1x2","Ecke 1x2","Corner 1x2","Esquina 1x2",
Window_cr1x1,"Round Vertical","Round Vertical","Vertical arrondi","Rund vertikal","Round Vertical","Circulo Vertical",
Window_crc1x1,"Round Corner","Round Corner","Coin arrondi","Rund Ecke","Round Corner","Esquina Circular",
Window_crsd1x1,"Round Side",,"Côté arrondi","Rund seitlich","Round Side","Lado redondo",
Window_3side1x1,"Vertical Corner",,"Coin vertical","Vertikal Ecke","Vertical Corner","Esquina Vertical",
Window_L1x1,"Vertical L-Shape",,"Vertical en L","Vertikal L-Form","Vertical L-Shape","Forma vertical de L",
Window_crl1x1,"Round Corner Long",,"Coin arrondi long","Runde lange Ecke","Round Corner Long","Esquina redonda larga",
Window_crse1x1,"Round Corner Edge",,"Coin arrondi, bord","Runde Winkelecke ","Round Corner Edge","Borde de esquina redondo",
Window_cc1x1,"Corner Thin",,"Coin mince","Dünne Ecke","Corner Thin","Esquina delgada",
Window_crctw1x1,"Round Corner Thin",,"Coin arrondi mince","Dünne runde Ecke","Round Corner Thin","Esquina redondeada delgada",
Window_creA1x1,"Connector A",,"Connecteur A","Verbindung A","Conector A","Conector A",
Window_creB1x1,"Connector B",,"Connecteur B","Verbindung B","Conector B","Conector B",
Window_v1x1Inv,"Vertical 1x1",,"Verticale 1x1","Vertikal 1x1","Vertical 1x1","Vertical 1x1",
Window_v1x2Inv,"Vertical 1x2",,"Verticale 1x2","Vertikal 1x2","Vertical 1x2","Vertical 1x2",
Window_v2x2Inv,"Vertical 2x2",,"Verticale 2x2","Vertikal 2x2","Vertical 2x2","Vertical 2x2",
Window_s1x1Inv,"Slope 1x1",,"Pente 1x1","Schräg 1x1","Slope 1x1","Pendiente 1x1",
Window_s1x2Inv,"Slope 1x2",,"Pente 1x2","Schräg 1x2","Slope 1x2","Pendiente 1x2",
Window_sd1x1Inv,"Side 1x1",,"Côté 1x1","Seitlich 1x1","Side 1x1","Lado 1x1",
Window_sd1x2Inv,"Side 1x2",,"Côté 1x2","Seitlich 1x2","Side 1x2","Lado 1x2",
Window_sd1x2V2Inv,"Side 2 1x2",,"Côté 2 1x2","Seitlich 2 1x2","Side 2 1x2","Lado 2 1x2",
Window_c1x1Inv,"Corner 1x1",,"Coin 1x1","Ecke 1x1","Canto 1x1","Esquina 1x1",
Window_c1x2Inv,"Corner 1x2",,"Coin 1x2","Ecke 1x2","Canto 1x2","Esquina 1x2",
Window_cr1x1Inv,"Round Vertical",,"Verticale arrondi","Rund vertikal","Canto arredondado vertical","Circulo Vertical",
Window_crc1x1Inv,"Round Corner",,"Coin arrondi","Rund Ecke","Canto arredondado","Esquina redondeada",
Window_crsd1x1Inv,"Round Side",,"Côté arrondi","Rund seitlich","Round Side","Lado circular",
Window_3side1x1Inv,"Vertical Corner",,"Coin verticale","Vertikal Ecke","Vertical Corner","Esquina vertical",
Window_L1x1Inv,"Vertical L-Shape",,"Verticale en L","Vertikal L-Form","Vertical L-Shape","Forma vertical de L",
Window_crl1x1Inv,"Round Corner Long",,"Coin arrondi long","Runde lange Ecke","Round Corner Long","Esquina redondeada larga",
Window_crse1x1Inv,"Round Corner Edge",,"Coin arrondi, bord","Runde Winkelecke ","Round Corner Edge","Borde de esquina redondo",
Window_cc1x1Inv,"Corner Thin",,"Coin mince","Dünne Ecke","Corner Thin","Esquina delgada",
Window_crctw1x1Inv,"Round Corner Thin",,"Coin arrondi mince","Dünne runde Ecke","Round Corner Thin","Esquina redondeada delgada",
Window_creA1x1Inv,"Connector A",,"Connecteur A","Verbindung A","Conector A","Conector A",
Window_creB1x1Inv,"Connector B",,"Connecteur B","Verbindung B","Conector B","Conector B",
WindowArmoredSmallBlocks,"Armored Window Blocks S",,"Bloc fenêtre blindé petit","Gepanzerte Fensterblöcke S","Bloco de janela resistente pequena","Bloques de ventanas blindadas S",
WindowArmoredLargeBlocks,"Armored Window Blocks L",,"Bloc fenêtre blindé grand","Gepanzerte Fensterblöcke L","Bloco de janela resistente grande","Bloques de ventanas blindadas L",
WindowShutterSmallBlocks,"Shutter Window Blocks S",,"Fenêtre à volets, petite","Fensterblock mit Blende S","Bloco de persiana pequena","Bloques de ventanas de combate S",
WindowShutterLargeBlocks,"Shutter Window Blocks L",,"Fenêtre à volets, grande","Fensterblock mit Blende L","Bloco de persiana grande","Bloques de ventanas de combate L",
Window_v1x1Thick,"Vertical 1x1",,"Verticale 1x1","Vertikal 1x1","Vertical 1x1","Vertical 1x1",
Window_v1x2Thick,"Vertical 1x2",,"Verticale 1x2","Vertikal 1x2","Vertical 1x2","Vertical 1x2",
Window_v2x2Thick,"Vertical 2x2",,"Verticale 2x2","Vertikal 2x2","Vertical 2x2","Vertical 2x2",
Window_s1x1Thick,"Slope 1x1",,"Pente 1x1","Schräg 1x1","Slope 1x1","Inclinada 1x1",
Window_s1x2Thick,"Slope 1x2",,"Pente 1x2","Schräg 1x2","Slope 1x2","Inclinada 1x2",
Window_sd1x1Thick,"Side 1x1",,"Côté 1x1","Seitlich 1x1","Side 1x1","Lado 1x1",
Window_sd1x2Thick,"Side 1x2",,"Côté 1x2","Seitlich 1x2","Side 1x2","Lado 1x2",
Window_sd1x2V2Thick,"Side 2 1x2",,"Côté 2 1x2","Seitlich 2 1x2","Side 2 1x2","Lado 2 1x2",
Window_c1x1Thick,"Corner 1x1",,"Coin 1x1","Ecke 1x1","Canto 1x1","Esquina 1x1",
Window_c1x2Thick,"Corner 1x2",,"Coin 1x2","Ecke 1x2","Canto 1x2","Esquina 1x2",
Window_cr1x1Thick,"Round Vertical",,"Verticale arrondi","Rund vertikal","Round Vertical","Redondo Vertical",
Window_crc1x1Thick,"Round Corner",,"Coin arrondi","Rund Ecke","Round Corner","Esquina Redonda",
Window_crsd1x1Thick,"Round Side",,"Côté arrondi","Rund seitlich","Round Side","Lado Redondo",
Window_3side1x1Thick,"Vertical Corner",,"Verticale coin","Vertikal Ecke","Vertical Corner","Esquina Vertical",
Window_L1x1Thick,"Vertical L-Shape",,"Verticale en L","Vertikal L-Form","Vertical L-Shape","Forma L Vertical",
Window_crl1x1Thick,"Round Corner Long","Round Corner Long","Coin arrondi long","Runde lange Ecke","Round Corner Long","Esquina Redonda Larga",
Window_crse1x1Thick,"Round Corner Edge","Round Corner Edge","Coin arrondi, bord","Runde Winkelecke ","Round Corner Edge","Margen Redonda Esquina",
Window_cc1x1Thick,"Corner Thin","Corner Thin","Coin mince","Dünne Ecke","Corner Thin","Esquina Delgada",
Window_crctw1x1Thick,"Round Corner Thin","Round Corner Thin","Coin arrondi mince","Dünne runde Ecke","Round Corner Thin","Esquina Redonda Delgada",
Window_creA1x1Thick,"Connector A","Connector A","Connecteur A","Verbindung A","Conector A","Conector A",
Window_creB1x1Thick,"Connector B","Connector B","Connecteur B","Verbindung B","Conector B","Conector B",
Window_v1x1ThickInv,"Vertical 1x1","Vertical 1x1","Verticale 1x1","Vertikal 1x1","Vertical 1x1","Vertical 1x1",
Window_v1x2ThickInv,"Vertical 1x2","Vertical 1x2","Verticale 1x2","Vertikal 1x2","Vertical 1x2","Vertical 1x2",
Window_v2x2ThickInv,"Vertical 2x2","Vertical 2x2","Verticale 2x2","Vertikal 2x2","Vertical 2x2","Vertical 2x2",
Window_s1x1ThickInv,"Slope 1x1","Slope 1x1","Pente 1x1","Schräg 1x1","Slope 1x1",Inclinado,
Window_s1x2ThickInv,"Slope 1x2","Slope 1x2","Pente 1x2","Schräg 1x2","Slope 1x2","Inclinado 1x2",
Window_sd1x1ThickInv,"Side 1x1","Side 1x1","Côté 1x1","Seitlich 1x1","Side 1x1","Lado 1x1",
Window_sd1x2ThickInv,"Side 1x2","Side 1x2","Côté 1x2","Seitlich 1x2","Side 1x2","Lado 1x2",
Window_sd1x2V2ThickInv,"Side 2 1x2","Side 2 1x2","Côté 2 1x2","Seitlich 2 1x2","Side 2 1x2","Lado 2 1x1",
Window_c1x1ThickInv,"Corner 1x1","Corner 1x1","Coin 1x1","Ecke 1x1","Canto 1x1","Esquina 1x1",
Window_c1x2ThickInv,"Corner 1x2","Corner 1x2","Coin 1x2","Ecke 1x2","Canto 1x2","Esquina 1x2",
Window_cr1x1ThickInv,"Round Vertical","Round Vertical","Verticale arrondi","Rund vertikal","Arredondado vertical","Redondo Vertical",
Window_crc1x1ThickInv,"Round Corner","Round Corner","Coin arrondi","Rund Ecke","Canto arredondado","Esquina Redonda",
Window_crsd1x1ThickInv,"Round Side","Round Side","Côté arrondi","Rund seitlich","Lado arredondado","Lado Redondo",
Window_3side1x1ThickInv,"Vertical Corner","Vertical Corner","Coin vertical","Vertikal Ecke","Canto vertical","Esquina Vertical",
Window_L1x1ThickInv,"Vertical L-Shape","Vertical L-Shape","Verticale en L ","Vertikal L-Form","Vertical L-Shape"," Molde Vertical en L",
Window_crl1x1ThickInv,"Round Corner Long","Round Corner Long","Coin arrondi long","Runde lange Ecke","Round Corner Long","Ezquina Larga Redonda",
Window_crse1x1ThickInv,"Round Corner Edge","Round Corner Edge","Coin arrondi, bord","Runde Winkelecke ","Round Corner Edge","Esquina de Margen Redonda",
Window_cc1x1ThickInv,"Corner Thin","Corner Thin","Coin mince","Dünne Ecke","Canto fino","Esquina Delgada",
Window_crctw1x1ThickInv,"Round Corner Thin","Round Corner Thin","Coin arrondi mince","Dünne runde Ecke","Round Corner Thin","Esquina Delgada Redondo",
Window_creA1x1ThickInv,"Connector A","连接器 A","Connecteur A","Verbindung A","Conector A","Conector A",
Window_creB1x1ThickInv,"Connector B","连接器 B","Connecteur B","Verbindung B","Conector B","Conector B",
WindowVertShutterArmored,"Vertical (non-transparent)","Vertical (non-transparent)","Verticale (opaque)","Vertikal (nicht transparent)","Vertical (non-transparent)","Vertical (no transparente)",
WindowSlopedShutterArmored,"Slope (non-transparent)","Slope (non-transparent)","Pente (opaque)","Schräg (nicht transparent)","Slope (non-transparent)","Diagonal (no transparente)",
WindowSloped2ShutterArmored,"Slope Inv (non-transparent)","Slope Inv (non-transparent)","Pente inversée (opaque)","Schräg inv. (nicht transparent)","Slope Inv (non-transparent)","Diagonal Invertido (no transparente)",
WindowVertShutterTransArmored,"Vertical (transparent)","Vertical (transparent)","Verticale (transparente)","Vertikal (transparent)","Vertical (transparent)","Vertical (transparente)",
WindowSlopedShutterTransArmored,"Slope (transparent)","Slope (transparent)","Pente (transparente)","Schräg (transparent)","Slope (transparent)","Diagonal (transparente)",
WindowVertBase,"Vertical (transparent)","Vertical (transparent)","Verticale (transparente)","Vertikal (transparent)",Base,"Vertical (transparente)",
WindowSlopedBase,"Slope (transparent)","Slope (transparent)","Pente (transparente)","Schräg (transparent)","Slope (transparent)","Diagonal (transparente)",
WindowVertMS,"Vertical (non-transparent)","Vertical (non-transparent)","Verticale (opaque)","Vertikal (nicht transparent)","Vertical (non-transparent)","Vertical (no transparente)",
WindowSlopedMS,"Slope (non-transparent)","Slope (non-transparent)","Pente (opaque)","Schräg (nicht transparent)","Slope (non-transparent)","Diagonal (no transparente)",
WindowSloped2MS,"Slope Inv (non-transparent)","Slope Inv (non-transparent)","Pente inversée (opaque)","Schräg inv. (nicht transparent)","Slope Inv (non-transparent)","Diagonal Invertido (no transparente)",
TrussCube,"Truss Block",构架块,"Bloc treillis",Gerüstblock,"Truss Block","Bloque de tronco",
TrussWedge,"Truss Slope",构架块,"Treillis pente","Gerüstblock schräg","Truss Slope","Celosía Diagonal",
TrussCorner,"Truss Corner","Truss Corner","Treillis coin","Gerüstblock Ecke","Truss Corner","Celosía Esquinera",
TrussSmallBlocks,"Truss Blocks S",小型钢块（薄）,"Bloc treillis petit","Gerüstblöcke S","Truss Blocks S","Bloque de tronco S",
TrussLargeBlocks,"Truss Blocks L",大型构架块,"Bloc treillis grand","Gerüstblöcke L","Truss Blocks L","Bloque de tronco L",
ArmorPlate,"Armor Plate",装甲板,"Plaque d'armure","Gepanzerte Platte","Armor Plate","Plato Armado",
SolarPanel,"Solar Panel Plate",太阳能电池板,"Panneau solaire",Solarpanel,"Placa de painel solar","Placa del panel solar",
SolarBlock,"Solar Panel Slope",斜型太阳能板,"Panneau solaire incliné","Solarpanel schräg","Declive de painel solar","Pendiente del panel solar",
InteriorKitchen,"Interior Kitchen",厨房,"Cuisine intérieure","Innenblock Küche","Interior Kitchen","Cocina Interior",
InteriorKitchen02,"Interior Kitchen 2",厨房2,"Cuisine intérieure 2","Innenblock Küche 2","Interior Kitchen 2","Cocina Interior 2",
